Date & Time,Total_consumption,y_pred
2016-11-01 00:00:00,1.226249999,3.076625115479385
2016-11-01 00:30:00,1.3562833319999998,2.8648789164328323
2016-11-01 01:00:00,1.622449999,2.9507091484532046
2016-11-01 01:30:00,0.9359,3.1743253319232734
2016-11-01 02:00:00,1.182149999,2.9284628412696314
2016-11-01 02:30:00,1.3139166680000003,3.016741047236107
2016-11-01 03:00:00,3.8962999999999997,3.175927489416624
2016-11-01 03:30:00,3.6588166660000003,4.6499985281726754
2016-11-01 04:00:00,1.150516667,5.173538355789628
2016-11-01 04:30:00,2.749616667,3.99925357354673
2016-11-01 05:00:00,2.377749999,4.383361430775393
2016-11-01 05:30:00,2.147099999,4.415803072880162
2016-11-01 06:00:00,1.5272999989999998,4.231650106136168
2016-11-01 06:30:00,2.752900001,3.871048434436648
2016-11-01 07:00:00,2.9248,4.411989813170532
2016-11-01 07:30:00,2.9114333329999997,4.742094822089272
2016-11-01 08:00:00,5.1625,4.853796719728581
2016-11-01 08:30:00,7.617983334,6.119242946662453
2016-11-01 09:00:00,11.325033333999999,7.973381321538682
2016-11-01 09:30:00,14.712416667,10.653279323072306
2016-11-01 10:00:00,18.369500001,13.512737411413173
2016-11-01 10:30:00,21.005666668000003,16.519322595220753
2016-11-01 11:00:00,22.975716668,18.999277036837533
2016-11-01 11:30:00,22.508500000999998,20.85591510125566
2016-11-01 12:00:00,25.749866665999996,21.136861070301705
2016-11-01 12:30:00,25.220566667,22.74440013359339
2016-11-01 13:00:00,25.387433332999997,22.957507959583147
2016-11-01 13:30:00,25.076766666999998,22.847084400526633
2016-11-01 14:00:00,19.045083335,22.492667933367365
2016-11-01 14:30:00,22.961216666,18.94577512339429
2016-11-01 15:00:00,6.927816666000001,19.39005941947467
2016-11-01 15:30:00,7.208533332999999,11.066661337761637
2016-11-01 16:00:00,4.599716668,7.482275544487401
2016-11-01 16:30:00,3.028583333,5.080495088964573
2016-11-01 17:00:00,2.2231500000000004,3.233756018675397
2016-11-01 17:30:00,2.537016667,2.2083345209461656
2016-11-01 18:00:00,2.611366666,2.266524960610892
2016-11-01 18:30:00,6.0869166649999995,2.4402191760833896
2016-11-01 19:00:00,6.084366666,4.511928266593396
2016-11-01 19:30:00,3.945149999,5.502435392269556
2016-11-01 20:00:00,3.395116667,4.755835478403596
2016-11-01 20:30:00,4.292,4.216363781237649
2016-11-01 21:00:00,5.079749999000001,4.569340151418289
2016-11-01 21:30:00,2.51195,5.164420086816039
2016-11-01 22:00:00,1.3574,4.080149080294709
2016-11-01 22:30:00,2.2141166649999997,3.0569318318212524
2016-11-01 23:00:00,0.9939000010000001,3.2087747630714816
2016-11-01 23:30:00,1.229666668,2.6800272380895125
2016-11-02 00:00:00,2.752999999,2.6140680826375746
2016-11-02 00:30:00,1.673616667,3.5350427189495024
2016-11-02 01:00:00,0.912600001,3.3904397972274363
2016-11-02 01:30:00,1.7513500009999998,2.9174051324508783
2016-11-02 02:00:00,1.161266666,3.2603035714308803
2016-11-02 02:30:00,2.679900001,3.1331349444349
2016-11-02 03:00:00,0.9645000010000001,3.891342507728484
2016-11-02 03:30:00,1.6816499999999999,3.3657251204423155
2016-11-02 04:00:00,1.122333333,3.5107911860469763
2016-11-02 04:30:00,2.727400001,3.3477383787764263
2016-11-02 05:00:00,2.9943499989999998,4.135708590184314
2016-11-02 05:30:00,2.8775166669999996,4.645441402039044
2016-11-02 06:00:00,2.4318166669999997,4.783841673510519
2016-11-02 06:30:00,3.036250001,4.604212165408299
2016-11-02 07:00:00,2.9799666670000002,4.8619693742792744
2016-11-02 07:30:00,3.505666667,4.93760156384483
2016-11-02 08:00:00,2.707183333,5.235547515962923
2016-11-02 08:30:00,4.2622,4.943450297803787
2016-11-02 09:00:00,6.096333334,5.639313095101392
2016-11-02 09:30:00,13.0764,6.934657716169319
2016-11-02 10:00:00,14.495833333,11.169035896594949
2016-11-02 10:30:00,19.554799999999997,13.650935125067285
2016-11-02 11:00:00,15.136166667000001,17.16497310544655
2016-11-02 11:30:00,24.696433333,16.15646744810804
2016-11-02 12:00:00,22.869099999000003,20.545695198465147
2016-11-02 12:30:00,21.263266667,21.368342884448296
2016-11-02 13:00:00,21.712166666,20.38231592864797
2016-11-02 13:30:00,5.072683334,20.119490609646302
2016-11-02 14:00:00,4.440899999,10.990713408243462
2016-11-02 14:30:00,20.042016665,6.546525319265854
2016-11-02 15:00:00,13.477083334,13.520926744888937
2016-11-02 15:30:00,6.496416667999999,12.911261572038274
2016-11-02 16:00:00,4.144583332,8.520285054991541
2016-11-02 16:30:00,2.5298,5.840769887419071
2016-11-02 17:00:00,1.435533333,3.920529634565948
2016-11-02 17:30:00,16.641433334,2.4568272717344364
2016-11-02 18:00:00,16.742633332999997,10.233911645585348
2016-11-02 18:30:00,16.690183333,13.75264900888208
2016-11-02 19:00:00,17.029533334,14.807922236121414
2016-11-02 19:30:00,22.299133332,15.495307542183685
2016-11-02 20:00:00,20.165366668,18.49016443101903
2016-11-02 20:30:00,16.122916666000002,18.360367446115614
2016-11-02 21:00:00,18.657516667,15.92702414380065
2016-11-02 21:30:00,15.456750001000001,16.256293423125506
2016-11-02 22:00:00,1.402383332,14.687076886437204
2016-11-02 22:30:00,2.872616667,6.290448133793214
2016-11-02 23:00:00,1.009283334,3.657945524259567
2016-11-02 23:30:00,0.9968000009999999,2.0026642673154194
2016-11-03 00:00:00,0.958949999,1.2486227074106906
2016-11-03 00:30:00,0.87955,1.188648282494297
2016-11-03 01:00:00,1.320516667,1.3699921466584322
